callsign,airp,a_d,airl,ac_model,tail,time_sch,time_atm
VLG7365,GMTT,A,VLG,A20N,EC-NAF,11:05:00,10:40:52
VLG1595,LEXJ,A,VLG,A320,EC-MBY,11:05:00,10:47:59
VLG9460,LEMD,A,VLG,A20N,EC-NCG,11:05:00,10:49:05
KLM86N,EHAM,D,KLM,B738,PH-BCH,11:05:00,11:14:03
VLG80MC,LFPO,D,VLG,A320,EC-KRH,11:05:00,11:24:37
VLG318M,LFPO,A,VLG,A320,EC-MKM,11:10:00,11:11:53
FIN7RT,EFHK,D,FIN,A321,OH-LZP,11:10:00,11:19:33
VLG21GU,LEMG,A,VLG,A321,EC-MPV,11:15:00,10:57:09
IBE2605,SCEL,D,IBE,A332,EC-MYA,11:15:00,11:15:36
VLG5TD,LIEO,D,VLG,A320,EC-LQN,11:15:00,11:16:03
VLG30MJ,GCLP,A,VLG,A321,EC-MHA,11:15:00,11:22:51
RYR2ZG,LEXJ,D,RYR,B738,EI-DYM,11:15:00,11:24:20
UAL121,KEWR,D,UAL,B78X,N14001,11:15:00,11:28:33
VLG3744,LEMH,D,VLG,A320,EC-MDZ,11:15:00,11:28:46
AAL67,KJFK,D,AAL,B772,N767AJ,11:15:00,11:41:13
VLG15AC,GCXO,A,VLG,A320,EC-LZZ,11:20:00,11:07:20
VLG20CG,LEGR,A,VLG,A321,EC-MRF,11:20:00,11:16:13
VLG25QJ,EDDH,D,VLG,A320,EC-MES,11:20:00,11:23:48
RYR8ST,LIMF,D,RYR,B738,EI-DLD,11:20:00,11:30:17
VLG60QY,LIRQ,D,VLG,A319,EC-MIR,11:20:00,11:34:27
AFR87VQ,LFPG,A,AFR,A321,F-GTAS,11:25:00,11:12:48
RYR1UE,LEMG,D,RYR,B738,EI-EBF,11:25:00,11:35:49
VLG1703,LEVX,A,VLG,A320,EC-MXP,11:30:00,11:08:20
RYR2MQ,EGSS,A,RYR,B738,EI-DLC,11:30:00,11:10:17
EXS68ZM,EGCC,A,EXS,B738,G-JZBR,11:30:00,11:12:52
VLG58QZ,LSZH,A,VLG,A20N,EC-NCS,11:30:00,11:24:25
